ID,Categoria,Nombre,Descripcion,Precio,Imagen
101,Accesorios,Collar de cuentas de vidrio,Collar hecho a mano con cuentas de vidrio soplado ensartado en hilo de algodón trenzado.,356,prestashop/img/Imagenes/Accesorios/1.jpeg
102,Accesorios,Pulsera de cuero trenzado,Pulsera tejida a mano con tiras de cuero curtido cierre de metal reciclado.,275,prestashop/img/Imagenes/Accesorios/2.jpeg
103,Accesorios,Pendientes de plata oxidada,Pendientes de plata pura modelados y oxidados a mano para un acabado envejecido.,460,prestashop/img/Imagenes/Accesorios/3.jpeg
104,Accesorios,Sombrero de lana,Sombrero tejido a mano con lana natural teñido con tintes vegetales.,520,prestashop/img/Imagenes/Accesorios/4.jpeg
105,Accesorios,Bufanda de seda pintada,Bufanda de seda natural pintada a mano con motivos florales.,620,prestashop/img/Imagenes/Accesorios/5.jpeg
106,Accesorios,Cinturón de cuero repujado,Cinturón de cuero hecho a mano con diseños repujados y teñido a mano.,410,prestashop/img/Imagenes/Accesorios/6.jpeg
107,Accesorios,Gafas de madera reciclada,Gafas de sol con marco hecho de madera reciclada tallado a mano.,730,prestashop/img/Imagenes/Accesorios/7.jpeg
108,Accesorios,Anillo de cobre martillado,Anillo hecho a mano utilizando cobre martillado y pulido para un acabado rústico.,385,prestashop/img/Imagenes/Accesorios/8.jpeg
109,Accesorios,Broche de piedra natural,Broche elaborado con piedras naturales montado en alpaca y trabajado a mano.,470,prestashop/img/Imagenes/Accesorios/9.jpeg
110,Accesorios,Tocado de flores secas,Tocado artesanal con flores secas preservadas montado a mano sobre estructura de alambre de cobre.,345,prestashop/img/Imagenes/Accesorios/.jpeg
111,Ropa,Chaleco de alpaca,Chaleco tejido a mano con lana de alpaca con cierre de botones de madera tallados.,950,prestashop/img/Imagenes/Ropa/11.jpeg
112,Ropa,Vestido de lino bordado,Vestido de lino natural bordado a mano con motivos geométricos tradicionales.,850,prestashop/img/Imagenes/Ropa/12.jpeg
113,Ropa,Camiseta de algodón orgánico,Camiseta fabricada con algodón orgánico teñida y cosida a mano con costuras decorativas.,370,prestashop/img/Imagenes/Ropa/13.jpeg
114,Ropa,Pantalones de lino,Pantalones de lino ligero cosidos a mano con un cinturón trenzado de algodón.,610,prestashop/img/Imagenes/Ropa/14.jpeg
115,Ropa,Poncho de lana de oveja,Poncho hecho a mano con lana de oveja teñido con pigmentos naturales y rematado con flecos.,900,prestashop/img/Imagenes/Ropa/15.jpeg
116,Ropa,Bufanda de alpaca tejida,Bufanda de lana de alpaca tejida a mano con un acabado suave y cálido.,430,prestashop/img/Imagenes/Ropa/16.jpeg
117,Ropa,Guantes de lana,Guantes tejidos a mano con lana de oveja con detalles bordados en los puños.,280,prestashop/img/Imagenes/Ropa/17.jpeg
118,Ropa,Falda de algodón,Falda de algodón natural teñida y cosida a mano con elástico ajustable.,560,prestashop/img/Imagenes/Ropa/18.jpeg
119,Ropa,Blusa de seda pintada,Blusa de seda natural pintada a mano con diseños florales.,780,prestashop/img/Imagenes/Ropa/19.jpeg
120,Ropa,Chal de lana bordado,Chal hecho a mano con lana natural con bordados a mano en los bordes.,845,prestashop/img/Imagenes/Ropa/20.jpeg
121,Vajilla,Juego de tazas de cerámica,Tazas de cerámica esmaltada moldeadas y decoradas a mano con esmalte mate.,540,prestashop/img/Imagenes/Vajilla/21.jpeg
